Designator,Footprint,Quantity,Value,LCSC Part #
J1,PinHeader_1x02_P2.54mm_Vertical,1,~,
J2,JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,1,Conn_01x02_Socket,
SW1,SW_PUSH-12mm,1,~,C5377619
