Designator,Mid X,Mid Y,Rotation,Layer
J1,149.7588,-74.7568,180.0,bottom
J2,124.2572,-74.7314,180.0,bottom
J3,176.479676,-60.301348,180.0,top
J4,176.479676,-78.381148,180.0,top
J5,176.479676,-96.216948,180.0,top
J6,176.479676,-114.073148,180.0,top
J7,176.479676,-132.279948,180.0,top
J8,137.103274,-50.961648,0.0,bottom
SW1,163.957476,-60.504548,0.0,top
SW2,163.979676,-78.415198,0.0,top
SW3,163.954276,-96.325848,0.0,top
SW4,163.928876,-114.236498,0.0,top
SW5,163.930476,-132.147148,0.0,top
